Date,PIB_Croissance,Inflation,Taux_Directeur,Taux_Change,Chomage,Balance_Commerciale,Reserves_Change,Prod_Industrielle,Confiance_Menages,MASI_Indice,MASI_Rendement,Volume_Echange,Volatilite,Capitalisation,Societes_Cotees,PER,Div_Yield,Sect_Bancaire,Sect_Telecoms,Sect_Industrie,Sect_Immobilier
2010-01-01,3.9,1.81,2.6,9.25,10.15,-14.26,24.48,101.67,103.31,10016.99,0.0,568.03,19.3,422.98,75,19.64,3.87,98.35,107.24,99.38,88.18
2010-02-01,3.44,1.07,2.8,8.66,9.16,-15.67,24.52,100.62,105.52,9823.6,-1.93,661.44,17.43,470.27,76,21.09,3.36,94.19,104.75,99.88,104.61
2010-03-01,4.11,0.97,2.47,9.16,9.35,-14.75,24.61,102.33,100.32,9983.83,1.63,1029.58,17.96,442.38,77,15.79,3.48,98.92,102.97,88.16,121.08
2010-04-01,4.83,1.75,2.57,9.44,10.4,-12.21,28.25,98.16,92.88,9905.95,-0.78,534.73,17.42,471.45,77,16.22,3.51,88.11,109.38,110.88,90.19
2010-05-01,3.41,1.39,2.63,8.27,10.09,-14.4,25.75,101.5,101.53,10209.29,3.06,600.07,19.11,438.15,73,20.1,3.74,96.74,94.64,100.85,96.83
2010-06-01,3.38,1.87,2.41,8.77,9.89,-14.75,25.87,96.7,96.63,10393.65,1.81,594.68,21.92,450.7,75,18.63,2.81,98.56,110.9,103.8,104.72
2010-07-01,4.78,1.75,2.53,9.19,9.96,-17.66,26.81,100.5,97.71,10348.89,-0.43,573.46,27.06,457.93,74,19.2,3.3,98.96,106.1,107.5,100.13
2010-08-01,4.08,1.48,2.48,8.96,10.09,-13.53,25.67,98.01,103.74,10563.39,2.07,606.12,17.61,427.76,74,18.8,3.54,99.24,99.17,93.83,90.96
2010-09-01,3.06,1.09,2.5,9.13,9.62,-13.8,24.97,98.47,107.34,10595.92,0.31,757.74,20.43,481.16,75,18.92,3.84,100.85,107.48,104.43,112.11
2010-10-01,3.86,0.76,2.32,8.84,9.49,-10.77,25.11,104.47,101.41,10746.18,1.42,668.63,20.05,444.66,74,15.5,3.33,105.34,94.12,99.38,124.21
2010-11-01,3.07,1.29,2.48,9.05,9.97,-15.67,25.34,104.25,102.78,10841.24,0.88,628.08,18.0,454.32,73,20.26,2.91,108.67,95.89,107.32,103.08
