Composante,Valeur_Propre,Variance_pct,Cumul_pct
CP1,8.3757,39.66,39.66
CP2,1.3379,6.34,46.0
CP3,1.1345,5.37,51.37
CP4,1.0341,4.9,56.27
CP5,0.96,4.55,60.81
CP6,0.9261,4.39,65.2
CP7,0.9009,4.27,69.46
CP8,0.7991,3.78,73.25
CP9,0.7853,3.72,76.97
CP10,0.6809,3.22,80.19
CP11,0.6663,3.16,83.35
CP12,0.578,2.74,86.08
CP13,0.5593,2.65,88.73
CP14,0.5175,2.45,91.18
CP15,0.4382,2.08,93.26
CP16,0.3978,1.88,95.14
CP17,0.3108,1.47,96.61
CP18,0.2674,1.27,97.88
CP19,0.2108,1.0,98.88
CP20,0.1466,0.69,99.57
CP21,0.0904,0.43,100.0
