,PIB_Croissance,Inflation,Taux_Directeur,Taux_Change,Chomage,Balance_Commerciale,Reserves_Change,Prod_Industrielle,Confiance_Menages,MASI_Indice,MASI_Rendement,Volume_Echange,Volatilite,Capitalisation,Societes_Cotees,PER,Div_Yield,Sect_Bancaire,Sect_Telecoms,Sect_Industrie,Sect_Immobilier
PIB_Croissance,1.0,0.023,-0.2114,0.1276,-0.2754,0.1261,0.2418,0.2724,0.0593,0.2677,-0.049,0.2311,-0.2368,0.2625,0.2949,0.1688,-0.1782,0.2564,0.2026,0.265,0.0765
Inflation,0.023,1.0,-0.0695,-0.0481,-0.0969,0.0283,0.1735,0.1293,0.0484,0.1813,0.0254,0.019,0.0292,0.14,0.1504,0.0174,-0.0309,0.1402,0.1758,0.0431,0.0913
Taux_Directeur,-0.2114,-0.0695,1.0,-0.3363,0.3959,-0.1062,-0.5485,-0.6469,-0.1567,-0.6338,0.2085,-0.4283,0.1546,-0.5704,-0.572,-0.2856,0.2993,-0.5633,-0.3992,-0.5263,-0.3998
Taux_Change,0.1276,-0.0481,-0.3363,1.0,-0.2745,0.1145,0.3642,0.4213,0.1899,0.3915,-0.085,0.3286,-0.1142,0.3732,0.3669,0.2242,-0.1369,0.304,0.2889,0.2993,0.1621
Chomage,-0.2754,-0.0969,0.3959,-0.2745,1.0,-0.1564,-0.4522,-0.5634,-0.2238,-0.5938,0.0524,-0.4169,0.1598,-0.5255,-0.5414,-0.1258,0.247,-0.4594,-0.3471,-0.4406,-0.2843
Balance_Commerciale,0.1261,0.0283,-0.1062,0.1145,-0.1564,1.0,0.2142,0.2666,0.1728,0.268,0.0187,0.2033,-0.0984,0.2294,0.2552,0.2002,-0.0745,0.2351,0.1001,0.2271,0.1388
Reserves_Change,0.2418,0.1735,-0.5485,0.3642,-0.4522,0.2142,1.0,0.7535,0.3663,0.7764,-0.179,0.5311,-0.1575,0.7357,0.7342,0.2928,-0.3012,0.6704,0.4968,0.5972,0.3824
Prod_Industrielle,0.2724,0.1293,-0.6469,0.4213,-0.5634,0.2666,0.7535,1.0,0.3488,0.8809,-0.232,0.6031,-0.1858,0.8221,0.8096,0.4046,-0.3785,0.6773,0.55,0.714,0.4335
Confiance_Menages,0.0593,0.0484,-0.1567,0.1899,-0.2238,0.1728,0.3663,0.3488,1.0,0.3632,0.0076,0.2697,-0.1677,0.3668,0.3589,0.227,-0.1465,0.2621,0.2054,0.2091,0.0915
MASI_Indice,0.2677,0.1813,-0.6338,0.3915,-0.5938,0.268,0.7764,0.8809,0.3632,1.0,-0.17,0.6173,-0.1951,0.8565,0.8649,0.3622,-0.3524,0.7244,0.549,0.7342,0.4441
MASI_Rendement,-0.049,0.0254,0.2085,-0.085,0.0524,0.0187,-0.179,-0.232,0.0076,-0.17,1.0,-0.076,-0.0097,-0.1968,-0.1808,-0.0919,0.0727,-0.1713,-0.1697,-0.1857,-0.0917
Volume_Echange,0.2311,0.019,-0.4283,0.3286,-0.4169,0.2033,0.5311,0.6031,0.2697,0.6173,-0.076,1.0,-0.2278,0.5573,0.618,0.2721,-0.2442,0.5301,0.3949,0.4925,0.3599
Volatilite,-0.2368,0.0292,0.1546,-0.1142,0.1598,-0.0984,-0.1575,-0.1858,-0.1677,-0.1951,-0.0097,-0.2278,1.0,-0.1796,-0.1703,-0.1889,0.0099,-0.1801,-0.0441,-0.101,-0.0218
Capitalisation,0.2625,0.14,-0.5704,0.3732,-0.5255,0.2294,0.7357,0.8221,0.3668,0.8565,-0.1968,0.5573,-0.1796,1.0,0.7724,0.365,-0.3657,0.7163,0.5118,0.6481,0.3975
Societes_Cotees,0.2949,0.1504,-0.572,0.3669,-0.5414,0.2552,0.7342,0.8096,0.3589,0.8649,-0.1808,0.618,-0.1703,0.7724,1.0,0.3157,-0.3407,0.6859,0.5663,0.6763,0.3931
PER,0.1688,0.0174,-0.2856,0.2242,-0.1258,0.2002,0.2928,0.4046,0.227,0.3622,-0.0919,0.2721,-0.1889,0.365,0.3157,1.0,-0.1476,0.2587,0.1813,0.3462,0.0957
Div_Yield,-0.1782,-0.0309,0.2993,-0.1369,0.247,-0.0745,-0.3012,-0.3785,-0.1465,-0.3524,0.0727,-0.2442,0.0099,-0.3657,-0.3407,-0.1476,1.0,-0.3093,-0.2439,-0.3392,-0.1773
Sect_Bancaire,0.2564,0.1402,-0.5633,0.304,-0.4594,0.2351,0.6704,0.6773,0.2621,0.7244,-0.1713,0.5301,-0.1801,0.7163,0.6859,0.2587,-0.3093,1.0,0.4065,0.5592,0.361
Sect_Telecoms,0.2026,0.1758,-0.3992,0.2889,-0.3471,0.1001,0.4968,0.55,0.2054,0.549,-0.1697,0.3949,-0.0441,0.5118,0.5663,0.1813,-0.2439,0.4065,1.0,0.4576,0.3474
Sect_Industrie,0.265,0.0431,-0.5263,0.2993,-0.4406,0.2271,0.5972,0.714,0.2091,0.7342,-0.1857,0.4925,-0.101,0.6481,0.6763,0.3462,-0.3392,0.5592,0.4576,1.0,0.3788
Sect_Immobilier,0.0765,0.0913,-0.3998,0.1621,-0.2843,0.1388,0.3824,0.4335,0.0915,0.4441,-0.0917,0.3599,-0.0218,0.3975,0.3931,0.0957,-0.1773,0.361,0.3474,0.3788,1.0
